Name,Dominant Discipline,Alcohol Sales,Location,loacation,Address
Arab Center of Washington,Arts/Cultural Administration or Advocacy,N,47.719806,-122.297703,12525 28th Ave NE 2nd Floor Seattle WA 98125
Room 104 Gallery (CLOSED) in Tashiro Kaplan,Visual,,47.6010201,-122.3298371,306 S. Washington St #104 Seattle WA 98104
City Hall Lobby Gallery & Anne Focke Gallery,Visual,N,47.6038849,-122.3300938,600 4th Ave Seattle WA 98104
The Northwest School,Arts/Cultural Training or Education,,47.6133929,-122.3259406,1415 Summit Ave Seattle WA 98122
Pound Arts,Visual,N,47.6127484,-122.3192097,1216 10th Ave Seattle WA 98122
KCTS 9,Service/Supply,,47.623882,-122.348251,
Gasworks Gallery,Visual,,47.654293,-122.324905,3815 4th Ave NE Seattle WA 98105
AXIS Pioneer Square,Performance,Y,47.615789,-122.3441663,308 1st Ave S Seattle WA 98104
Linda Hodges Gallery,Visual,N,47.599457,-122.333794,316 1st Ave S Seattle WA 98146
Crybaby Studios,Music,N,47.6129328,-122.3181106,11th Ave Seattle WA 98122
KXSU Radio,Music,N,47.6106553,-122.3171103,901 12th Ave Seattle WA 98122
Seattle Public Library Wallingford,Literary,Y,47.66116457,-122.3388849,1501 N. 45th St. Seattle WA 98103
Seattle Center EMP and Sky Church,Multi-use,Y,47.62149775,-122.3482387,325 5th Ave N Seattle WA 98109
Log House Museum,Heritage,N,47.5775947,-122.4109498,3003 61st Ave SW Seattle WA 98116
Freehold Theatre Lab Studio,Arts/Cultural Training or Education,N,47.59782,-122.325297,517 Maynard Ave. S
Teatro ZinZanni,Performance,Y,47.6249259,-122.3518443,222 Mercer St Seattle WA 98109
Admiral Theatre,Cinema,,47.5819689,-122.3869421,2343 California Ave SW Seattle WA 98116
Capitol Cider,Music,,47.61407,-122.321734,818 E Pike St Seattle WA 98122
CoCA,Visual,N,47.5514664,-122.3283134,5701 6th Ave S #258 Seattle WA 98108
The Makery,Arts/Cultural Training or Education,N,47.556461,-122.268508,5019 52nd St Seattle WA 98118
South Park Community Center,Community Center,,47.52876,-122.322873,8319 8th Ave S Seattle WA 98108
